city,lat,lng,country,iso2,state,capital,population,population_proper
Mumbai,18.987807,72.836447,India,IN,Maharashtra,admin,18978000,12691836
Delhi,28.651952,77.231495,India,IN,Delhi,admin,15926000,7633213
Kolkata,22.562627,88.363044,India,IN,West Bengal,admin,14787000,4631392
Chennai,13.084622,80.248357,India,IN,Tamil Nadu,admin,7163000,4328063
Bengalūru,12.977063,77.587106,India,IN,Karnataka,admin,6787000,5104047
Hyderabad,17.384052,78.456355,India,IN,Telangana,admin,6376000,3597816
Ahmadābād,23.025793,72.587265,India,IN,Gujarat,minor,5375000,3719710
Lucknow,26.839281,80.923133,India,IN,Uttar Pradesh,admin,2695000,2472011
Patna,25.615379,85.101027,India,IN,Bihar,admin,2158000,1599920
Bhopal,23.254688,77.402892,India,IN,Madhya Pradesh,admin,1727000,1599914
Vishākhapatnam,17.704052,83.297663,India,IN,Andhra Pradesh,,1529000,1063178
Amritsar,31.622337,74.875335,India,IN,Punjab,,1212000,1092450
Srīnagar,34.085652,74.805553,India,IN,Jammu and Kashmir,admin,1140000,975857
Ranchi,23.347768,85.338564,India,IN,Jharkhand,admin,1044000,846454
Guwahati,26.176076,91.762932,India,IN,Assam,,983000,17516
Thiruvananthapuram,8.485498,76.949238,India,IN,Kerala,admin,954000,784153
Bhubaneshwar,20.272411,85.833853,India,IN,Odisha,admin,844000,762243
DehraDun,30.324427,78.033922,India,IN,Uttarakhand,admin,714223,578420
Shillong,25.573987,91.896807,India,IN,Meghālaya,admin,375527,354325
Aizawl,23.736701,92.714596,India,IN,Mizoram,admin,283021,265331
Agartala,23.836049,91.279386,India,IN,Tripura,admin,203264,203264
Shimla,31.104423,77.166623,India,IN,Himachal Pradesh,admin,173503,173503
Port Blair,11.666667,92.75,India,IN,Andaman and Nicobar Islands,admin,127562,112050
Kohima,25.674673,94.110988,India,IN,Nagaland,admin,92113,92113
Gangtok,27.325739,88.612155,India,IN,Sikkim,admin,77900,30700
Panaji,15.498289,73.824541,India,IN,Goa,admin,65586,65586
Itanagar,27.102349,93.692047,India,IN,Arunachal Pradesh,admin,44971,44971
Silvassa,20.273855,72.996728,India,IN,Dadra and Nagar Haveli,admin,27359,27359
Diu,20.715115,70.987952,India,IN,Daman and Diu,,23779,23779
Kavaratti,10.566667,72.616667,India,IN,Lakshadweep,admin,10688,10688
Jaipur,26.913312,75.787872,India,IN,Rajasthan,admin
Chandigarh,30.736292,76.788398,India,IN,Chandigarh,admin,979000,914371
Rohtak,28.894473,76.589166,India,IN,Haryana,,317245,317245
Raipur,21.233333,81.633333,India,IN,Chhattisgarh,admin,875000,679995
Leh,34.16504,77.58402,India,IN,Ladakh,admin,,
Shillong,25.56892,91.88313,India,IN,Meghalaya,admin,,
Puducherry,11.933812,79.829792,India,IN,Puducherry,admin,227411,227411
Imphal,24.808053,93.944203,India,IN,Manipur,admin,264986,223523
